Rank,RollNo,InstituteCode,BranchCode
1353,3027086,106,4125
1354,2052157,102,4107
1356,1060471,102,4107
1358,2007384,109,4125
1359,7021065,109,4125
1360,2078079,104,4107
1361,7021013,115,4110
1362,5023082,117,4114
1363,5033064,116,5254
1365,6092139,107,4111
1366,6100136,106,4125
1367,2010089,104,4107
1368,6118005,107,4110
1369,4006084,104,4107
1371,2091128,109,4125
1372,7013260,111,4110
1373,6031131,107,4111
1374,7033080,102,4107
1377,2088008,102,5219
1378,6122243,106,5222
1379,7017227,115,4110
1381,1061157,102,4101
1383,1053068,111,4110
1384,3031062,109,4125
1385,4008134,109,4125
1387,2067101,106,5222
1388,2076166,113,4111
1389,1071075,102,4101
1393,5013101,106,4125
1395,1019094,115,4110
1397,1061491,110,5233
1398,2012182,110,5602
1399,7002062,102,4125
1402,2089226,106,4125
1403,4050118,106,5222
1404,1091088,101,4110
1406,2065054,113,4111
1407,7013112,102,4107
1408,6110090,117,4114
1409,2058059,113,4111
1410,2003279,113,4111
1411,3037046,113,4111
1412,6115201,107,4111
1413,2054087,109,4125
1414,5015087,109,4125
1415,2004159,111,4110
1416,4015073,113,4111
1417,2021246,109,4125
1418,4015199,111,4110
1420,2068008,109,4203
1422,2078194,106,5222
1423,6100026,116,4110
1424,2002033,111,4110
1425,6112006,102,4101
1426,2065070,109,4125
1427,7044102,115,4110
1429,1003319,111,4110
1430,1060427,102,4107
1431,2087188,117,4114
1432,6077150,110,4117
1433,2013048,104,4112
1435,1059164,102,4107
1436,6078017,110,5217
1437,4009188,116,5254
1438,7014155,109,4125
1440,2052116,106,5222
1441,2049097,102,4107
1442,5049117,109,4125
1443,6031497,102,4109
1444,6124139,107,4111
1447,1070076,111,4110
1448,4019231,109,4125
1449,7040286,116,5254
1450,5028043,106,5222
1451,6020164,110,5233
1452,5066153,116,5254
1453,7044103,102,4101
1454,7027062,106,4125
1455,7013253,102,4107
1456,2092261,113,4111
