RANK,ROLL No,Inst Code,Branch Code
1137,1046103,102,5235
1138,6121211,110,4111
1139,6105105,110,4125
1140,7016089,116,5254
1141,6045113,106,5216
1142,2009049,113,4114
1143,2061074,104,4125
1144,1082188,117,4114
1145,2011407,104,4125
1146,2039233,113,4114
1147,2011208,113,4114
1148,1056148,102,4117
1150,2074126,104,5216
1151,7034058,113,4114
1152,7035012,113,4110
1153,1026177,102,4117
1154,3023041,112,4110
1155,1006278,102,4111
1156,4014358,102,5235
1157,7035116,116,4110
1158,2006426,113,4114
1160,4009362,113,4114
1161,1054371,102,4107
1162,2012707,113,4110
1163,2004088,113,4114
1164,6115168,102,4111
1166,5019288,106,5506
1167,4061130,113,4114
1169,6082090,104,4125
1170,1068146,102,4111
1171,5003288,102,4111
1172,6033071,104,5216
1173,4048141,104,4125
1174,1053203,104,4125
1176,2008065,104,4125
1177,2076176,104,4125
1178,6135177,107,4185
1179,7016212,111,4110
1180,7015180,109,4111
1181,2011100,104,4111
1182,2073137,102,4101
1183,2081334,104,4125
1184,2056332,109,4111
1185,6035077,104,4125
1186,2028291,113,4114
1187,4043463,102,4110
1188,1019138,106,5506
1189,1054178,104,4125
1190,7020138,106,5225
1191,2028467,113,4110
1192,2017052,113,4114
1194,6128035,107,4110
1195,2057049,104,4125
1196,7003036,104,4110
1197,5042126,113,4114
1198,1090227,113,4114
1199,1009036,111,4110
1200,2002024,104,4111
1201,2008098,104,4125
1202,1090160,102,4117
1203,6120195,117,4114
1204,7019110,102,4107
1205,6113176,106,5506
1206,6122170,106,5506
1208,6052230,110,4125
1209,7014328,106,5225
1210,1004093,113,4110
1211,6043259,102,4101
1212,2026259,104,4125
1213,2029055,104,4125
1214,2015060,104,4125
1215,2044077,116,4110
1216,1055248,102,4107
1217,4003135,102,4111
1218,6098190,106,5225
1219,4036186,117,4114
1220,1045063,104,4125
1221,1016122,104,4125
1222,2012542,104,4125
1223,1077275,102,5235
1224,4005077,117,4114
1225,7045211,106,5225
1226,6049180,106,4111
1227,1019142,111,4110
1228,6061156,117,4114
1229,6119175,107,4111
1230,6105078,110,4125
1231,1003344,102,5235
1232,3025144,113,4110
1233,2016224,102,4107
1235,5068142,102,5235
1237,7015393,106,5506
1238,6150103,117,4114
1239,6152097,107,4111
1240,6150027,106,4110
1242,1027213,102,4107
1243,7018305,104,4107
1244,2038229,104,4125
1245,5028074,106,4111
1246,6046181,101,4110
1247,6117325,106,4111
1248,7006209,106,5506
1249,6131097,106,5225
1250,5012024,110,4110
1251,4006100,102,4107
1252,1055037,102,5217
1254,7045256,109,4125
1255,6108124,107,4111
1257,2083317,102,4125
1258,2066083,113,4110
1259,6136182,106,5506
1260,7027143,106,4111
1261,6052217,106,5225
1262,2083342,104,4124
1263,6033061,106,4115
1264,7023187,106,5506
1265,1039104,110,4125
1266,4024084,109,4125
1267,2011242,104,4107
1268,4036004,113,4110
1269,2074091,113,4111
1270,2028337,106,4111
1272,3023215,104,4125
1273,4031112,117,4114
1274,4008120,106,4111
1275,1056343,102,5235
1276,2043016,102,4202
1277,6097222,110,4111
1278,2010055,117,4114
1279,2088071,106,5225
1280,6119163,110,4111
1281,6053128,107,4111
1282,4046167,102,4101
1283,1024146,102,4206
1284,1027324,113,4110
1285,1004118,102,5235
1286,7002144,113,4111
1287,1083158,102,5235
1288,2064227,106,5216
1289,2007047,113,4110
1290,1004215,102,4117
1294,1016099,102,5235
1295,4011146,106,4111
1296,6158132,102,4110
