Rank,RollNo,InsituteCode,CourseCode
1304,1065314,102,4107
1305,1075311,106,5506
1306,6097219,113,4114
1308,2033223,106,5506
1309,4010287,102,4107
1310,4017195,106,5225
1311,6100077,113,4114
1312,2055066,106,5506
1314,4011284,106,5506
1315,1027233,106,5222
1316,1060213,109,4125
1317,1069064,113,4114
1318,7015006,113,4114
1319,7010213,102,4107
1321,6088096,106,5506
1322,1034239,110,4117
1323,7038065,109,4125
1325,6016205,113,4114
1326,2060171,113,4114
1327,2031214,113,4114
1328,4031065,113,4114
1329,7022122,113,4114
1330,7036184,116,5254
1331,6078101,109,4125
1332,2065235,109,4125
1333,1030235,102,4107
1334,2005101,111,4110
1335,7012002,104,4107
1335,4009400,106,5225
1341,6015175,104,4109
1342,1059206,111,4110
1343,2033127,113,4114
1344,1071056,102,4107
1345,6101078,111,4110
1347,2033086,104,4107
1348,6030174,109,4125
1349,4018121,109,4125
1350,5048067,114,4110
1351,4004323,102,4107
1352,2044287,109,4125
1353,4053337,102,4107
1354,7015032,104,4107
1355,7042269,102,4107
1357,7038440,109,4125
1358,1001082,109,4125
1359,6015178,106,4125
1361,7001316,104,4107
1362,2065237,105,4110
1363,5017013,113,4111
1364,1029345,102,4107
1367,1031311,102,4107
1369,7038054,102,4107
1370,5017304,109,4125
1371,2067068,105,4110
1372,2044073,102,4107
1373,2011427,104,4117
1376,2044299,116,5254
1378,2042060,113,4114
1379,5028007,102,4107
1379,7039069,109,4125
1382,1042004,102,4107
1383,2055014,113,4114
1384,4001078,105,4110
1386,1050255,109,4125
1388,6012267,110,5233
1389,4009258,102,4107
1390,1030019,102,4107
1391,1069050,102,4101
1392,1053014,102,4107
1393,6087145,106,4125
1395,4010238,105,4110
1396,6029261,110,5233
1397,5039361,106,4125
1398,1028099,102,4107
1400,4013075,105,4110
1401,1028221,102,4107
1402,6094286,117,4114
1403,1074055,102,4107
1404,4045036,109,4125
1405,2040130,102,4107
1406,6105081,113,4114
1408,2005346,105,4110
1409,2007312,109,4125
1410,1005198,106,4125
1411,1030346,102,4107
1412,4004298,113,4111
1412,6002021,117,4114
1414,7021168,104,4109
1415,4010294,117,4114
1416,2009399,104,4107
1417,2040044,102,4107
1418,5056138,106,4125
1419,2030276,102,4107
1420,2044081,105,4110
1421,1072133,104,4107
1423,1065372,106,4125
1425,1019220,102,4107
1426,4008116,102,4202
1427,6094211,106,5222
1428,2066006,105,4110
1430,4048155,113,4111
1431,6105296,105,4110
1432,4008309,110,5233
1434,7008112,113,4111
1435,2022056,106,4125
1437,6099170,113,4111
1438,3012153,104,4107
1439,6101236,102,4107
1440,1007041,106,4125
1441,7039234,113,4111
1442,7002021,106,4125
1443,3016109,106,5222
1444,6099315,102,4107
1445,4002206,117,4114
1446,1057021,117,4114
1447,1079261,104,4109
1448,2031099,105,4110
1449,4009213,117,4114
1452,2059131,106,4125
1453,1034142,102,4107
1454,2027309,116,4113
1455,6024195,117,4114
1456,6014115,105,4110
1458,6013227,107,4124
1459,6028170,106,4125
1460,6070184,110,5233
1462,1003153,106,4125
1464,7013017,106,4125
1465,6031278,104,4117
1466,1067153,102,4107
1467,1045001,106,5222
1468,6033077,117,4114
1469,6019377,106,5222
1470,6113028,115,4110
1471,2038245,113,4111
1472,1036095,106,5222
1473,1068033,102,4107
1474,5057112,109,4101
1475,6116073,106,4125
1476,6091262,107,4124
1479,7010172,102,5226
1480,7029108,117,4114
1482,5027053,102,4107
1483,6014212,107,4111
1484,2060067,113,4111
1485,4010188,106,4125
1486,1065035,106,4125
1487,4033053,113,4111
1488,1050026,106,4125
1489,6077103,110,5233
1490,6035060,104,4117
1491,7032442,104,4107
1492,1031347,102,4107
1493,4054406,113,4111
1494,2012199,105,4110
1495,6015193,106,5222
