Rank ,RollNo,InstituteCode,CourseCode
1054,7023179,106,4111
1055,1027213,102,4107
1056,1017076,102,4101
1057,2007230,109,4125
1058,4022169,106,5225
1059,5012086,109,4203
1060,5009143,102,4109
1061,1045473,106,4111
1062,1042113,117,4124
1063,6008090,110,4125
1064,1046013,109,4125
1065,6086023,110,5217
1067,6002053,110,5217
1068,1017175,106,4111
1069,1044001,113,4111
1071,6059110,102,4107
1072,6005273,106,5225
1073,1013082,102,4107
1074,1024064,106,4125
1075,2025223,104,4107
1077,2017268,116,4113
1078,1005178,115,4110
1079,7015064,113,4114
1080,6034265,106,5225
1081,1045223,109,4125
1083,1020419,113,4114
1084,1045098,102,4107
1085,5020164,106,4111
1086,1044344,117,4124
1087,2012217,109,4203
1088,7012068,113,4114
1089,1009085,113,4114
1090,1045158,117,4124
1091,7007009,117,4124
1092,4006112,109,4203
1093,1022179,102,4107
1094,6001176,110,4125
1095,4032229,109,4203
1096,2008168,113,4114
1097,2007141,104,4107
1098,5011057,102,4107
1099,4007270,113,4114
1100,6005246,106,5225
1101,6034139,109,4203
1102,6001220,102,4107
1103,6007234,110,4125
1104,2033129,102,4107
1106,1045279,109,4125
1108,2017115,109,4125
1109,7012052,105,4110
1110,1032250,109,4125
1111,1043010,102,4109
1112,1031197,110,5217
1113,2018398,104,4107
1114,3010050,106,4111
1115,7002002,104,4107
1116,7027078,109,4125
1117,2007240,109,4203
1118,6062120,110,5217
1119,4001195,104,4107
1120,5033145,106,4125
1121,2001217,109,4203
1123,2034057,102,5229
1124,1045417,102,4107
1125,1022150,102,4107
1127,1045049,113,4114
1128,4002009,102,4107
1129,3014132,109,4125
1131,7006019,109,4203
1132,7015006,109,4125
1134,6004084,106,4125
1136,6034131,106,5225
1137,6004158,102,4107
1139,7023062,109,4125
1140,7001301,113,4114
1141,4033065,117,4124
1142,1042066,109,4203
1143,1043335,102,4109
1144,1003086,102,4107
1145,1007118,106,4125
1147,1042162,102,4107
1148,6003236,107,4111
1149,4029144,109,4107
1150,1054339,117,4124
1152,6006272,113,4114
1153,2018162,113,4114
1154,1015086,102,4107
1155,1045340,102,4107
1156,4008137,109,4203
1157,6001088,113,4114
1158,7001207,113,4114
1159,1009196,102,4107
1160,7012114,113,4114
1161,7008402,109,4125
1162,6008215,113,4114
1163,1064205,113,4111
1164,7002102,113,4114
1165,2007092,113,4114
1166,4006118,109,4203
1167,6036151,107,4111
1168,7011094,109,4125
1169,6034187,102,4101
1170,1040184,117,4124
1171,2034218,102,4107
1172,1042297,109,4125
1173,6022113,110,4125
1175,4001244,109,4125
1176,7002038,102,4107
1177,1022013,102,4107
1178,5020330,109,4125
1179,2012007,115,4110
1180,4031143,109,4125
1181,7006284,109,4125
1182,1016385,102,5229
1183,2012101,102,4107
1184,2029241,105,4110
1185,6034170,106,5225
1189,4024270,109,4125
1190,2033143,109,4203
1192,5038256,109,4125
1193,1044018,106,5225
1194,6007020,113,4114
1195,1024119,106,5225
1196,4001075,113,4114
1197,1024103,102,4107
1198,2001237,113,4114
1200,4022065,109,4203
1202,2008216,113,4114
1203,1042147,117,4124
1208,1024304,106,4125
1209,2028193,104,4107
1210,4019227,113,4114
1211,7015011,104,4107
1212,4025076,102,4107
1214,4012221,109,4203
1215,1042078,110,4125
1216,6063246,110,4125
1217,5040295,106,5225
1218,4024358,110,4125
1219,6004025,110,4125
1220,1045308,102,4107
1221,2046003,117,4124
1222,1042398,110,5217
1223,1017029,102,4101
1224,1064083,117,4124
1225,6033181,110,4125
1226,2029195,116,5305
1227,3014180,106,4125
1228,2001007,113,4114
1230,7020002,104,4107
1231,6001044,110,4125
1233,5003042,110,4125
1234,1009099,113,4114
1237,4022058,110,5217
1238,7001225,106,5506
1239,7012194,102,4107
1240,5033118,106,4125
1241,5020381,106,5225
1242,7005085,106,4125
1243,6063121,107,4111
1244,2017387,102,4107
1245,2034096,113,4114
1246,1044054,104,4136
1247,5025330,106,4125
1248,4024108,106,4125
1249,6081127,110,5217
1250,5011014,110,4125
1251,7027071,106,5225
1252,2026075,104,4107
1253,7008014,104,4107
1254,7023124,106,4125
1255,5002103,106,4125
1256,6081095,110,4117
1257,6015001,110,4125
1258,2033294,106,5225
1259,7012131,117,4124
1260,2034256,117,4124
1263,6014023,106,4125
1264,6004136,106,4125
1267,6001256,102,5229
1268,6007274,113,4114
1270,6081072,110,5217
1271,6023021,102,4107
1272,6036121,113,4114
1273,1022247,102,4101
1274,1056141,106,4125
1275,2034089,106,5225
1276,2029200,104,4107
1277,1052429,106,5222
1278,1047053,106,5222
1280,5025393,106,5225
1281,2007281,102,4107
1282,2033284,113,4114
1283,1054135,102,4107
1285,6002203,106,4125
1286,7005024,106,5225
1287,6005217,110,5217
1288,2017390,106,4125
1289,1044342,116,4113
1290,1054346,113,4111
1291,2033272,110,5217
1292,7008267,104,4109
1293,1016142,102,4107
1294,1033207,110,5233
1296,1013011,110,5217
1297,1015171,102,4107
1298,6022077,107,4111
1299,6034238,106,5225
1300,1044190,102,4107
