Rank,RollNo,Course
3555,2027199,K4123 
3558,6005185,M4132 
3559,4006374,R5502 
3560,4007314,G5253 
3564,2027235,V4109 
3565,1001123,K4123 
3567,5005003,W4109 
3568,5006004,R4136 
3571,7007039,C4110 
3572,6076260,R4127 
3574,7020158,U4125 
3574,4006234,R5502 
3578,2068053,M5241 
3579,4009335,E4111 
3580,1067026,E4111 
3582,4035342,K4123 
3583,2053094,V4107 
3584,1058189,W4109 
3585,1027167,C4110 
3586,1044075,E4125 
3587,3029252,G5231 
3588,2025184,D5205 
3589,2043051,U4111 
3590,4011242,K4123 
3591,4022203,S4111 
3592,1091096,W4109 
3593,2031197,D5205 
3594,5014126,W4401 
3595,2063066,G5230 
3596,5015019,K4123 
3700,4003349,W4107 
3701,6032165,A4110 
3703,7029204,G5230 
3704,2029305,D4139 
3708,6082054,M4132 
3709,4011005,W4107 
3710,2065052,U4111 
3710,1005282,E4111 
3712,5008221,G4127 
3713,6011168,A4110 
3714,5038234,G4127 
3717,2012154,V4109 
3718,2053174,G5230 
3719,5036105,G4127 
3720,7015238,U4125 
3720,6007126,P4110 
3724,7034250,V4109 
3725,5020074,G5208 
3726,4005230,D4139 
3727,4029191,K4123 
3728,7024027,D4139 
3729,4021005,K4123 
3730,4013103,V4107 
3731,2051201,V4109 
3732,4006115,V4109 
3733,2029180,D5205 
3734,1046267,M4132 
3735,5039036,W4107 
3737,2035133,W4107 
3738,1049166,G5504 
3739,2012236,D4139 
3740,2003203,E4111 
3742,2002102,G4127 
3743,5052233,K4123 
3745,4001082,V4109 
3746,1019148,E4111 
3747,1030153,W4107 
3748,4032093,K4123 
3749,5002205,M4132 
3750,4008032,E4125 
3751,2067106,V4109 
3865,3025115,V4107 
3870,5046101,G4127 
3871,6005033,H4109 
3872,7001385,U4125 
3874,3026093,D4139 
3877,6012133,E4111 
3878,7034453,G4127 
3879,7026113,V5214 
3880,1083042,K4123 
3883,4006230,P4110 
3884,5049128,G5253 
3887,5050091,W4109 
3888,7013223,C4125 
3890,7021019,R4127 
3891,4007456,W4109 
3892,6021230,G5507 
3893,3032273,S4110 
3894,4002306,K4123 
3895,7034049,V5214 
3896,1069136,S4110 
3898,2006115,D4139 
3899,2050174,D4139 
3901,6034025,M5250 
3902,1060082,V4107 
